time,num,size
{time:1, num:2, size:15653, dir:1, group:4},
{time:2, num:1, size:14056, dir:1, group:4},
{time:3, num:1, size:14202, dir:1, group:4},
{time:4, num:1, size:14404, dir:1, group:4},
{time:5, num:1, size:14627, dir:1, group:4},
{time:6, num:1, size:15380, dir:1, group:4},
{time:7, num:1, size:15593, dir:1, group:4},
{time:8, num:1, size:15701, dir:1, group:4},
{time:9, num:1, size:15757, dir:1, group:4},
{time:10, num:1, size:16046, dir:1, group:4},
{time:11, num:1, size:17577, dir:1, group:4},
{time:12, num:1, size:17812, dir:1, group:4},
{time:13, num:1, size:18026, dir:1, group:4},
{time:14, num:1, size:18251, dir:1, group:4},
{time:15, num:1, size:18482, dir:1, group:4},
{time:16, num:1, size:18704, dir:1, group:4},
{time:17, num:3, size:18940, dir:1, group:4},
{time:18, num:1, size:14182, dir:1, group:4},
{time:19, num:1, size:14264, dir:1, group:4},
{time:20, num:1, size:14442, dir:1, group:4},
{time:21, num:1, size:14642, dir:1, group:4},
{time:22, num:1, size:14772, dir:1, group:4},
{time:23, num:1, size:14980, dir:1, group:4},
{time:24, num:1, size:15137, dir:1, group:4},
{time:25, num:1, size:15230, dir:1, group:4},
{time:26, num:1, size:15446, dir:1, group:4},
{time:27, num:1, size:15496, dir:1, group:4},
{time:28, num:1, size:15547, dir:1, group:4},
{time:29, num:1, size:15565, dir:1, group:4},
{time:30, num:1, size:15476, dir:1, group:4},
{time:31, num:1, size:15553, dir:1, group:4},
{time:32, num:1, size:15613, dir:1, group:4},
{time:33, num:1, size:15789, dir:1, group:4},
{time:34, num:1, size:16027, dir:1, group:4},
{time:35, num:1, size:16233, dir:1, group:4},
{time:36, num:1, size:16463, dir:1, group:4},
{time:37, num:1, size:16721, dir:1, group:4},
{time:38, num:1, size:16802, dir:1, group:4},
{time:39, num:1, size:16810, dir:1, group:4},
{time:40, num:1, size:16570, dir:1, group:4},
{time:41, num:1, size:16547, dir:1, group:4},
{time:42, num:1, size:16448, dir:1, group:4},
{time:43, num:1, size:15568, dir:1, group:4},
{time:44, num:1, size:15598, dir:1, group:4},
{time:45, num:1, size:15660, dir:1, group:4},
{time:46, num:1, size:15756, dir:1, group:4},
{time:47, num:1, size:15862, dir:1, group:4},
{time:48, num:1, size:16021, dir:1, group:4},
{time:49, num:1, size:16016, dir:1, group:4},
{time:50, num:1, size:16099, dir:1, group:4},
{time:51, num:1, size:16389, dir:1, group:4},
{time:52, num:1, size:16527, dir:1, group:4},
{time:53, num:1, size:16678, dir:1, group:4},
{time:54, num:1, size:16854, dir:1, group:4},
{time:55, num:1, size:17064, dir:1, group:4},
{time:56, num:1, size:20659, dir:1, group:4},
{time:57, num:1, size:21091, dir:1, group:4},
{time:58, num:1, size:21573, dir:1, group:4},
{time:59, num:1, size:22261, dir:1, group:4},
{time:60, num:1, size:22810, dir:1, group:4},
{time:61, num:1, size:23385, dir:1, group:4},
{time:62, num:1, size:23972, dir:1, group:4},
{time:63, num:1, size:24503, dir:1, group:4},
{time:64, num:1, size:25020, dir:1, group:4},
{time:65, num:1, size:25542, dir:1, group:4},
{time:66, num:1, size:26077, dir:1, group:4},
{time:67, num:1, size:26549, dir:1, group:4},
{time:68, num:1, size:27048, dir:1, group:4},
{time:69, num:1, size:27553, dir:1, group:4},
{time:70, num:1, size:28029, dir:1, group:4},
{time:71, num:1, size:28478, dir:1, group:4},
{time:72, num:1, size:28936, dir:1, group:4},
{time:73, num:1, size:29337, dir:1, group:4},
{time:74, num:1, size:29658, dir:1, group:4},
{time:75, num:1, size:29991, dir:1, group:4},
{time:76, num:1, size:30292, dir:1, group:4},
{time:77, num:1, size:30568, dir:1, group:4},
{time:78, num:1, size:30851, dir:1, group:4},
{time:79, num:1, size:31095, dir:1, group:4},
{time:80, num:1, size:31284, dir:1, group:4},
{time:81, num:1, size:31586, dir:1, group:4},
{time:82, num:1, size:31830, dir:1, group:4},
{time:83, num:1, size:32137, dir:1, group:4},
{time:84, num:1, size:32555, dir:1, group:4},
{time:85, num:1, size:32787, dir:1, group:4},
{time:86, num:1, size:33134, dir:1, group:4},
{time:87, num:1, size:33494, dir:1, group:4},
{time:88, num:1, size:33756, dir:1, group:4},
{time:89, num:1, size:33864, dir:1, group:4},
{time:90, num:1, size:34108, dir:1, group:4},
{time:91, num:1, size:34237, dir:1, group:4},
{time:92, num:1, size:34320, dir:1, group:4},
{time:93, num:1, size:34308, dir:1, group:4},
{time:94, num:1, size:34488, dir:1, group:4},
{time:95, num:1, size:35150, dir:1, group:4},
{time:96, num:1, size:35412, dir:1, group:4},
{time:97, num:1, size:35566, dir:1, group:4},
{time:98, num:1, size:36000, dir:1, group:4},
{time:99, num:1, size:37685, dir:1, group:4},
{time:100, num:1, size:38186, dir:1, group:4},
{time:101, num:1, size:38783, dir:1, group:4},
{time:102, num:1, size:39133, dir:1, group:4},
{time:103, num:1, size:39562, dir:1, group:4},
{time:104, num:1, size:39862, dir:1, group:4},
{time:105, num:1, size:40126, dir:1, group:4},
{time:106, num:1, size:40380, dir:1, group:4},
{time:107, num:1, size:40436, dir:1, group:4},
{time:108, num:1, size:40400, dir:1, group:4},
{time:109, num:2, size:40485, dir:1, group:4},
{time:110, num:2, size:39485, dir:1, group:4},
{time:111, num:1, size:35983, dir:1, group:4},
{time:112, num:1, size:36074, dir:1, group:4},
{time:113, num:1, size:36394, dir:1, group:4},
{time:114, num:1, size:36931, dir:1, group:4},
{time:115, num:2, size:36969, dir:1, group:4},
{time:116, num:1, size:34266, dir:1, group:4},
{time:117, num:1, size:37614, dir:1, group:4},
{time:118, num:1, size:38001, dir:1, group:4},
{time:119, num:1, size:38446, dir:1, group:4},
{time:120, num:1, size:38614, dir:1, group:4},
{time:121, num:1, size:38751, dir:1, group:4},
{time:122, num:1, size:38897, dir:1, group:4},
{time:123, num:1, size:39119, dir:1, group:4},
{time:124, num:1, size:39281, dir:1, group:4},
{time:125, num:1, size:39567, dir:1, group:4},
{time:126, num:1, size:39852, dir:1, group:4},
{time:127, num:1, size:39963, dir:1, group:4},
{time:128, num:1, size:39672, dir:1, group:4},
{time:129, num:1, size:40448, dir:1, group:4},
{time:130, num:1, size:41572, dir:1, group:4},
{time:131, num:1, size:42282, dir:1, group:4},
{time:132, num:2, size:42040, dir:1, group:4},
{time:133, num:1, size:41172, dir:1, group:4},
{time:134, num:1, size:40896, dir:1, group:4},
{time:135, num:1, size:41337, dir:1, group:4},
{time:136, num:1, size:41493, dir:1, group:4},
{time:137, num:1, size:41776, dir:1, group:4},
